dataset,num_graphs,edges_added_mean,edges_added_std,edges_ratio_mean,density_delta_mean,degree_delta_mean,edges_added_p95,edges_added_max,corr_nodes_edges_added,time_total_sec,time_per_graph_ms
cora,1,527.0,,1.0998484274346343,0.0002000000000000001,0.3900000000000001,527.0,527,,0.0,0.0
dd,1178,71.11290322580645,69.42248713145143,1.0989400312399407,0.0027353989813242783,0.4925551782682513,154.14999999999986,1426,0.9903052979144179,42861.8,36.38522920203735
enzymes,600,6.416666666666667,1.888296850926142,1.114663969381863,0.0213225,0.44053333333333333,10.0,14,0.8279035399246856,11513.682,19.18947
mutag,188,5.0,0.0,1.2766361265922055,0.041259574468085106,0.597127659574468,5.0,5,,3209.929,17.074090425531914
proteins,1113,8.013477088948788,7.911765999213964,1.1436184584921008,0.0398648697214735,0.5304132973944294,20.0,104,0.972380169047194,20096.363,18.05603144654088
pubmed,1,4432.0,,1.0999909755437234,9.999999999999996e-05,0.4500000000000002,4432.0,4432,,0.0,0.0
qm9,25140,4.997494033412888,0.0958260379225615,1.3158077406605218,0.04612985282418456,0.6423866348448688,5.0,5,0.10352165343658491,298192.841,11.861290413683374
zinc,10000,5.0,0.0,1.2108868082072721,0.022323489999999998,0.45041099999999995,5.0,5,,98240.88,9.824088
